Reporter Identifier	VALUE
A_51_P112529	-0.5783596
A_51_P112557	5.3086452
A_51_P112592	-3.3095655
A_51_P112627	-3.8260393
A_51_P112639	-2.4791417
A_51_P112644	1.7716799
A_51_P112661	-2.3704357
A_51_P112662	1.8392859
A_51_P112677	2.1595545
A_51_P112682	-3.1350422
A_51_P112734	1.0592422
A_51_P112762	-4.575177
A_51_P112789	1.0647173
A_51_P112796	-6.2977333
A_51_P112817	-6.3359623
A_51_P112833	-6.295782
A_51_P112889	-6.249225
A_51_P112912	1.1441336
A_51_P112932	-2.7577186
A_51_P112966	-2.247387
A_51_P113003	2.3265285
A_51_P113026	-6.157502
A_51_P113033	-5.5415716
A_51_P113058	-2.869814
A_51_P113068	-5.9669147
A_51_P113072	4.482115
A_51_P113106	-0.5988083
A_51_P113129	-6.245155
A_51_P113137	-1.381763
A_51_P113144	1.0103302
A_51_P113162	-2.7629976
A_51_P113178	-5.2827716
A_51_P113182	-2.5441694
A_51_P113195	-6.2716713
A_51_P113205	-6.282405
A_51_P113213	-6.2715225
A_51_P113222	2.8900394
A_51_P113242	-4.06462
A_51_P113274	1.3702431
A_51_P113321	-6.2109594
A_51_P113322	-6.3951006
A_51_P113335	-4.0851903
A_51_P113395	0.8617649
A_51_P113399	1.1277714
A_51_P113403	0.6764126
A_51_P113430	0.70249176
A_51_P113475	-3.121378
A_51_P113518	-6.1920547
A_51_P113527	5.9382877
A_51_P113550	-6.259312
A_51_P113588	-6.302916
A_51_P113672	-2.52736
A_51_P113722	3.0040941
A_51_P113747	3.2618675
A_51_P113753	-6.311702
A_51_P113769	-1.6456952
A_51_P113773	-0.41109467
A_51_P113784	2.137641
A_51_P113806	-3.307794
A_51_P113825	-4.8839965
A_51_P113865	-6.2936277
A_51_P113890	-6.263795
A_51_P113906	-6.098091
A_51_P113973	-6.276759
A_51_P114002	-1.7791929
A_51_P114005	-3.0680618
A_51_P114028	2.59165
A_51_P114037	-4.4301
A_51_P114049	4.98048
A_51_P114062	-3.224702
