Reporter Identifier	VALUE
A_51_P115268	2.4961395
A_51_P115303	-4.934617
A_51_P115315	-6.5093207
A_51_P115326	4.6108046
A_51_P115334	3.04854
A_51_P115335	-0.83167076
A_51_P115346	-6.547457
A_51_P115359	-6.4353
A_51_P115374	-3.659171
A_51_P115376	-5.6368704
A_51_P115441	0.5886469
A_51_P115462	-5.6508493
A_51_P115471	-6.535283
A_51_P115526	-4.559516
A_51_P115535	-3.3263855
A_51_P115547	2.4776049
A_51_P115575	-6.43961
A_51_P115601	-6.483307
A_51_P115626	-6.36528
A_51_P115635	-4.9812737
A_51_P115655	2.2981672
A_51_P115656	-5.271821
A_51_P115666	1.3239822
A_51_P115715	-1.3939543
A_51_P115738	-4.2880187
A_51_P115749	0.78919506
A_51_P115768	-1.5212669
A_51_P115800	-5.144637
A_51_P115817	-5.334933
A_51_P115829	5.1575356
A_51_P115863	-5.9947243
A_51_P115868	-6.4420776
A_51_P115886	1.0479488
A_51_P115895	-5.2238874
A_51_P115896	-5.173052
A_51_P115905	-6.407208
A_51_P115934	-3.4244218
A_51_P115940	-0.53956985
A_51_P115953	-6.4474697
A_51_P115988	1.3015213
A_51_P116007	-2.9536424
A_51_P116023	-2.368031
A_51_P116027	3.4216366
A_51_P116039	-6.538226
A_51_P116064	-6.528409
A_51_P116071	-6.495342
A_51_P116088	3.8761702
A_51_P116130	-0.61000776
A_51_P116137	-5.226397
A_51_P116157	-0.778522
A_51_P116179	-6.535581
A_51_P116211	-6.4582996
A_51_P116226	-6.51169
A_51_P116239	-3.5688357
A_51_P116245	-6.330461
A_51_P116289	-0.45002413
A_51_P116298	-2.0633545
A_51_P116309	2.7916994
A_51_P116326	-1.7635283
A_51_P116343	-6.537276
A_51_P116377	-6.6049623
A_51_P116395	2.8976173
A_51_P116407	-0.21153355
A_51_P116419	-2.0081987
A_51_P116421	1.3240366
A_51_P116431	-6.489726
A_51_P116447	0.3872404
A_51_P116465	-4.7560406
A_51_P116479	-0.09643173
A_51_P116487	6.1965322
A_51_P116496	-3.2814093
A_51_P116581	3.5236387
A_51_P116601	-2.1691585
A_51_P116609	-5.3992615
A_51_P116616	4.0969505
A_51_P116636	-2.2107162
A_51_P116651	-6.545265
A_51_P116665	1.1773024
A_51_P116687	-0.4182148
A_51_P116699	1.2285385
